Trial,Arena,Time bin,Distance moved Center-point Total m,Velocity Center-point Mean m/s
Trial     1,Arena 1,0:00:00-0:00:02,3.48742E-05,6.97484E-05
Trial     1,Arena 1,0:00:02-0:00:04,0.0113461,0.00567307
Trial     1,Arena 1,0:00:04-0:00:06,0.0113352,0.00566761
Trial     1,Arena 1,0:00:06-0:00:08,0.000204755,0.000102378
Trial     1,Arena 1,0:00:08-0:00:10,0.000195694,0.000097847
Trial     1,Arena 1,0:00:10-0:00:12,0.00019153,9.57649E-05
Trial     1,Arena 1,0:00:12-0:00:14,0.0113837,0.00569184
Trial     1,Arena 1,0:00:14-0:00:16,0.000205536,0.000102768
Trial     1,Arena 1,0:00:16-0:00:18,0.00579568,0.00289784
Trial     1,Arena 1,0:00:18-0:00:20,0.00550014,0.00275007
Trial     1,Arena 1,0:00:20-0:00:22,0.000198827,9.94134E-05
Trial     1,Arena 1,0:00:22-0:00:24,0.000106346,5.31729E-05
Trial     1,Arena 1,0:00:24-0:00:26,0.000098037,4.90185E-05
Trial     1,Arena 1,0:00:26-0:00:28,4.86197E-05,2.43099E-05
Trial     1,Arena 1,0:00:28-0:00:30,0.000102297,5.11487E-05
Trial     1,Arena 1,0:00:30-0:00:32,7.78784E-05,3.89392E-05
Trial     1,Arena 1,0:00:32-0:00:34,0.000113066,0.000056533
Trial     1,Arena 1,0:00:34-0:00:36,0.000605487,0.000302744
Trial     1,Arena 1,0:00:36-0:00:38,0.00172264,0.000861318
Trial     1,Arena 1,0:00:38-0:00:40,0.00397843,0.00198922
Trial     1,Arena 1,0:00:40-0:00:42,0.00442738,0.00221369
Trial     1,Arena 1,0:00:42-0:00:44,0.00144084,0.000720421
Trial     1,Arena 1,0:00:44-0:00:46,0.00110785,0.000553926
Trial     1,Arena 1,0:00:46-0:00:48,0.000469521,0.000234761
Trial     1,Arena 1,0:00:48-0:00:50,0.00287227,0.00143614
Trial     1,Arena 1,0:00:50-0:00:52,0.000550337,0.000275169
Trial     1,Arena 1,0:00:52-0:00:54,0.000100675,5.03375E-05
Trial     1,Arena 1,0:00:54-0:00:56,6.33937E-05,3.16968E-05
Trial     1,Arena 1,0:00:56-0:00:58,8.68899E-05,0.000043445
Trial     1,Arena 1,0:00:58-0:01:00,0.00010151,5.07548E-05
Trial     1,Arena 1,0:01:00-0:01:02,9.20872E-05,4.60436E-05
Trial     1,Arena 1,0:01:02-0:01:04,0.000120586,6.02928E-05
Trial     1,Arena 1,0:01:04-0:01:06,0.000160049,8.00243E-05
Trial     1,Arena 1,0:01:06-0:01:08,5.64697E-05,2.82348E-05
Trial     1,Arena 1,0:01:08-0:01:10,7.91236E-05,3.95618E-05
Trial     1,Arena 1,0:01:10-0:01:12,8.58441E-05,0.000042922
Trial     1,Arena 1,0:01:12-0:01:14,0.000116442,5.82212E-05
Trial     1,Arena 1,0:01:14-0:01:16,7.92348E-05,3.96174E-05
Trial     1,Arena 1,0:01:16-0:01:18,0.000103871,5.19356E-05
Trial     1,Arena 1,0:01:18-0:01:20,7.41467E-05,3.70734E-05
Trial     1,Arena 1,0:01:20-0:01:22,9.05224E-05,4.52612E-05
Trial     1,Arena 1,0:01:22-0:01:24,0.000129322,6.46609E-05
Trial     1,Arena 1,0:01:24-0:01:26,0.0001648,8.23999E-05
Trial     1,Arena 1,0:01:26-0:01:28,0.000148361,7.41804E-05
